season,event,team,player,games_played,wins,loses,win_rate,kills,deaths,assists,kill_death_assist_ratio,creep_score,cs/min,gold,gold/min,damage,damage/min,kill_participation,kill_share,gold_share
10,Play in,Unicorns_of_Love_2e-CIS,Gadget,8,6,2,75,4,3,7.5,3.83,251,7.92,12.8,404,19000,598,66.7,23.2,21.6
10,Play in,Unicorns_of_Love_2e-CIS,Nomanz,8,6,2,75,5,2.5,6,4.4,284.75,8.99,14.1,445,22800,721,63.8,29,23.8
10,Play in,Unicorns_of_Love_2e-CIS,SaNTaS,8,6,2,75,1,2.25,9.63,4.72,36.38,1.15,7.9,248,4600,145,61.6,5.8,13.3
10,Play in,V3_Esports,Ace,5,1,4,20,2.2,3.6,4.4,1.83,211.8,6.57,10.7,331,14300,445,64.7,21.6,20.3
10,Play in,V3_Esports,Archer,5,1,4,20,3.6,3,4.4,2.67,313.4,9.72,14,435,20100,625,78.4,35.3,26.7
10,Play in,V3_Esports,Bugi,5,1,4,20,2.4,4.8,4.8,1.5,174.4,5.41,10.2,317,11100,345,70.6,23.5,19.4
10,Play in,V3_Esports,Paz,5,1,4,20,1.6,4,3,1.15,223,6.92,10.8,333,10400,322,45.1,15.7,20.5
10,Play in,V3_Esports,Raina,5,1,4,20,0.4,4.6,5.4,1.26,41.2,1.28,6.9,214,5000,156,56.9,3.9,13.1
10,Main,DWG_KIA,BeryL,17,14,3,82.4,1.29,2.65,7.29,3.24,46.53,1.49,7.9,254,6000,192,51.6,7.8,13.2
10,Main,DWG_KIA,Canyon,17,14,3,82.4,5.12,1.59,6.35,7.22,218.53,7,12.7,408,14300,459,68.9,30.7,21.2
10,Main,DWG_KIA,Ghost,17,14,3,82.4,3.88,1.41,6.88,7.63,280.53,8.99,13.8,442,15800,507,64.7,23.3,23
10,Main,DWG_KIA,Nuguri,17,14,3,82.4,2.53,2.29,7.88,4.54,245.18,7.85,12.4,397,16100,517,62.5,15.2,20.7
10,Main,DWG_KIA,ShowMaker,17,14,3,82.4,3.82,1.82,6,5.39,265.59,8.51,13.1,419,14700,472,59,23,21.8
10,Main,DRX,Chovy,9,4,5,44.4,1.78,1.33,4.11,4.42,319.22,9.63,13.4,405,11800,357,51.5,15.5,22.5
